model,accuracy,precision,recall,f1,roc_auc,cv_roc_auc,time_sec
XGBoost,0.9448501286598512,0.9589215312221798,0.9413233458177278,0.95004095004095,0.9825150850650065,0.9808314017079143,4.9834582805633545
CatBoost,0.9454064955838375,0.9614254694086091,0.9397003745318352,0.9504387903276722,0.9825001288819185,0.9811342402477923,95.04964756965637
LightGBM,0.9449892203908478,0.961160086878753,0.9392009987515606,0.9500536717812718,0.9820332235043768,0.9808775767615762,4.464717626571655
RandomForest,0.9430419361568955,0.9613755934813294,0.9353308364544319,0.9481743972663418,0.9817329433356677,0.9801426329739023,55.997572898864746
GradientBoosting,0.9404687391334585,0.9601234885515822,0.9318352059925094,0.9457678661936137,0.9737594453784707,0.9738514890398132,31.956765174865723
LogisticRegression,0.8859447805827944,0.8870928536703938,0.9112359550561798,0.8990023401896785,0.9415301449416836,0.9403273577903869,3.476712703704834
